number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
1,le,none,"det,pro","the; him, her, it, them","* vive la politique, vive l'amour -- long live politics, long live love","vive la politique, vive l'amour",5,"long live politics, long live love",89,2359662,89 | 2359662
2,de,none,"det,prep","of, from, some, any",* il ne rêve que d'argent et de plaisirs -- he only dreams of money and pleasure,il ne rêve que d'argent et de plaisirs,8,he only dreams of money and pleasure,88,1665907,88 | 1665907
3,un,none,"adj,det,nm,pro","a, an, one",* je me suis cassé un ongle -- I broke one of my fingernails,je me suis cassé un ongle,6,I broke one of my fingernails,95,421500,95 | 421500
4,à,none,prep,"to, at, in",* ils restent à l'école le plus longtemps possible -- they remain at school as long as possible,ils restent à l'école le plus longtemps possible,8,they remain at school as long as possible,93,557546,93 | 557546
5,être,none,"nm,v",to be; being,* tout le monde veut être beau -- everybody wants to be beautiful,tout le monde veut être beau,6,everybody wants to be beautiful,91,514562,91 | 514562
6,et,none,conj,and,* et les larmes se remirent à couler -- and the tears started flowing again,et les larmes se remirent à couler,7,and the tears started flowing again,93,364443,93 | 364443
7,en,none,"adv,prep,pro","in, by",* je suis retournée en Espagne en septembre -- I returned to Spain in September,je suis retournée en Espagne en septembre,7,I returned to Spain in September,94,242952,94 | 242952
8,avoir,none,"nm,v",to have,* on était six donc tu peux pas avoir une conversation -- there were six of us so you can't have a conversation,on était six donc tu peux pas avoir une conversation,10,there were six of us so you can't have a conversation,89,405020,89 | 405020
9,que,none,"adv,conj,pro","that, which, who, whom",* c'est un soldat. mais que fait-il ici? -- it's a soldier. but what's he doing here?,c'est un soldat. mais que fait-il ici?,7,it's a soldier. but what's he doing here?,88,348428,88 | 348428
10,pour,none,prep,"for, in order to",* elle jouait pour gagner -- she played to win,elle jouait pour gagner,4,she played to win,93,151709,93 | 151709
11,dans,none,prep,"in, into, from",* je reviendrai dans dix minutes -- I will return in 10 minutes,je reviendrai dans dix minutes,5,I will return in 10 minutes,93,161033,93 | 161033
12,ce,none,"det,pro","this, that",* je ne déteste pas cet homme -- I do not detest this man,je ne déteste pas cet homme,6,I do not detest this man,87,307421,87 | 307421
13,il,none,pro,"he, it",* allez voir s'il est blessé -- go see if he is injured,allez voir s'il est blessé,5,go see if he is injured,86,251585,86 | 251585
14,qui,none,pro,"who, whom",* je ne sais pas à qui m'adresser -- I don't know who to talk to,je ne sais pas à qui m'adresser,7,I don't know who to talk to,89,160867,89 | 160867
15,ne,none,adv,not,* nous ne faisons pas du très bon travail -- we are not doing very good work,nous ne faisons pas du très bon travail,8,we are not doing very good work,86,195309,86 | 195309
16,sur,none,"adj,prep","on, upon",* t'avais une chance sur un million -- you had one chance in a million,t'avais une chance sur un million,6,you had one chance in a million,92,97798,92 | 97798
17,se,none,pro,"oneself, himself, herself, itself, themselves","* avec ce traité, le Japon se rapproche des Etats-Unis -- with this treaty, Japan brings itself closer to the U.S.","avec ce traité, le Japon se rapproche des Etats-Unis",9,"with this treaty, Japan brings itself closer to the U.S.",88,144707,88 | 144707
18,pas,none,"adv,nm(pl)","not, n't; footstep","* non, ne touchez pas! -- no, don't touch it!","non, ne touchez pas!",4,"no, don't touch it!",83,161746,83 | 161746
19,plus,none,adv,"more, no more",* il est considérablement plus jeune que moi -- he's considerably younger than I am,il est considérablement plus jeune que moi,7,he's considerably younger than I am,90,85987,90 | 85987
20,pouvoir,none,"nm,v","can, to be able to",* tu peux jouer de la guitare électrique -- you can play electric guitar,tu peux jouer de la guitare électrique,7,you can play electric guitar,90,78074,90 | 78074
21,par,none,prep,by,* il s'y trouvait par hasard -- he found himself there by accident,il s'y trouvait par hasard,5,he found himself there by accident,87,99628,87 | 99628
22,je,none,pro,I,* je suis contente de vous revoir -- I am happy to see you again,je suis contente de vous revoir,6,I am happy to see you again,73,227259-n,73 | 227259-n
23,avec,none,prep,with,* vous voulez aller au ciné avec moi? -- do you want to go to a movie with me?,vous voulez aller au ciné avec moi?,7,do you want to go to a movie with me?,91,66056,91 | 66056
24,tout,none,"adv,det,nadj,pro","all, very","* comme vous voyez, tout est propre -- as you see, everything is clean","comme vous voyez, tout est propre",6,"as you see, everything is clean",86,95071,86 | 95071
25,faire,none,"nm,v","to do, make",* qu'est-ce qu'il fait? -- what's he doing?,qu'est-ce qu'il fait?,3,what's he doing?,85,99587,85 | 99587
